Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2018,193400,185600,177900,,,,,,,,,,,
2017,210600,211800,188000,175900,182800,192200,214600,215100,191100,184900,171100,165900,192000,
2016,232100,233100,224800,202000,192200,216000,237500,235300,225500,223700,197000,188100,217300,
2015,285500,276600,249500,234100,240200,232100,241400,225500,205700,217700,217700,214100,236700,
2014,339800,350700,333500,284400,299000,297300,316100,301200,269300,274000,272200,252700,299200,
2013,402600,382500,351500,330400,350700,373800,381500,373900,358200,367600,337400,317100,360600,
2012,398900,408300,387300,352600,371100,389400,401100,379400,351200,365700,345200,361500,376000,
2011,369500,364100,340600,328400,335800,357100,369500,368700,367600,377800,369800,373000,360100,
2010,414400,408400,395400,377900,363900,368400,385900,375000,361700,362400,363700,345200,376900,
2009,314300,341600,342500,328300,351000,376600,398900,397500,393500,406700,389800,390200,369200,
2008,219000,210200,196400,175200,192500,201800,226000,234900,229400,244000,248500,270800,220700,
2007,203000,193900,174600,173200,179900,196800,224200,205100,194600,198200,189900,198500,194300,
2006,210200,219700,200900,192600,184800,186300,211200,189900,172000,168000,174000,167700,189800,
