"Boro","Level","value"
"BRONX","FELONY",0.0202540162933143
"BRONX","MISDEMEANOR",0.0517627506302758
"BRONX","VIOLATION",0.00898774680385934
"BROOKLYN","FELONY",0.0184796582425041
"BROOKLYN","MISDEMEANOR",0.035393061045235
"BROOKLYN","VIOLATION",0.00696610372499701
"MANHATTAN","FELONY",0.022936262865942
"MANHATTAN","MISDEMEANOR",0.0461997902732438
"MANHATTAN","VIOLATION",0.00760086085077431
"QUEENS","FELONY",0.0143868218451246
"QUEENS","MISDEMEANOR",0.0247547654974488
"QUEENS","VIOLATION",0.00544621875787301
"STATEN ISLAND","FELONY",0.01019776843812
"STATEN ISLAND","MISDEMEANOR",0.0316194824312504
"STATEN ISLAND","VIOLATION",0.00962387728543085
